dolares,capital,capital_pesos,ciiu,Vencido,Días vencido,tipo_operacion,tasa_interes,plazo,output_1,ciiu_emb1,ciiu_emb2,plazo_emb1,plazo_emb2
1,76000.0,2248156.0,71110,0,0,1,7.0,2,0,-0.7509599,0.6434941,0.04101171,0.36117008
1,50000.0,1479050.0,51430,0,0,1,7.5,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,40000.0,1183240.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,33000.0,976173.0,52310,0,0,1,5.8,2,0,1.3962417,-0.13528237,0.04101171,0.36117008
1,20000.0,591620.0,72900,1,11,1,8.0,2,0,-0.9066446,1.394121,0.04101171,0.36117008
1,80000.0,2366480.0,51211,0,0,1,6.0,3,0,-0.24880093,0.45012644,1.1681741,0.7304368
1,75000.0,2218575.0,50300,0,0,1,8.0,2,0,0.041681875,0.19871044,0.04101171,0.36117008
1,15000.0,443715.0,51490,1,4,1,5.9,2,0,0.55587935,-0.3071757,0.04101171,0.36117008
1,20000.0,591620.0,51502,0,0,1,7.5,2,0,0.9997455,-0.37260506,0.04101171,0.36117008
1,9716.04,287410.17924,51502,0,0,2,7.8,4,0,0.9997455,-0.37260506,-0.23936123,0.14529034
1,15000.0,443715.0,51390,0,0,1,8.0,2,0,0.4813622,-0.86792165,0.04101171,0.36117008
1,14000.0,414134.0,51390,0,0,1,8.0,3,0,0.4813622,-0.86792165,1.1681741,0.7304368
1,40000.0,1183240.0,75230,0,0,1,6.0,1,0,-0.15355697,0.1140225,-0.822244,0.017446453
1,40000.0,1183240.0,75230,0,0,1,6.0,2,0,-0.15355697,0.1140225,0.04101171,0.36117008
1,40162.5,1188046.9125,32100,0,0,2,5.52,6,0,-0.97431225,0.76103,0.03569989,0.686754
1,35000.0,1035335.0,32100,0,0,1,5.5,2,0,-0.97431225,0.76103,0.04101171,0.36117008
0,2019000.0,2019000.0000000002,51900,0,0,1,19.5,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
0,400000.0,400000.0,51900,0,0,1,19.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,38000.0,1124078.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,16900.0,499918.89999999997,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,11000.0,325391.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,42329.5,1252148.9395,90000,1,3,2,6.5,5,0,-0.26089063,0.19164342,-0.14429104,0.9848039
1,39375.0,1164751.875,1401,0,0,2,5.1,6,0,0.1894225,-0.32241976,0.03569989,0.686754
1,22960.0,679179.76,1401,0,0,2,5.1,5,0,0.1894225,-0.32241976,-0.14429104,0.9848039
1,20000.0,591620.0,25110,0,0,1,6.0,3,0,0.09737022,0.30261186,1.1681741,0.7304368
1,39450.0,1166970.45,60220,0,0,2,4.99,6,0,0.30126727,0.16430633,0.03569989,0.686754
1,7770.0,229844.37,60220,0,0,2,5.01,6,0,0.30126727,0.16430633,0.03569989,0.686754
1,68100.0,2014466.0999999999,60230,0,0,1,6.0,3,0,0.22463928,-0.4531752,1.1681741,0.7304368
1,25000.0,739525.0,34200,0,0,1,6.5,2,0,0.046759028,-0.89071375,0.04101171,0.36117008
1,80000.0,2366480.0,36100,0,0,1,5.0,3,0,0.3362454,0.5756545,1.1681741,0.7304368
1,35675.0,1055302.175,1211,0,0,2,5.49,5,0,-0.8034214,0.115811124,-0.14429104,0.9848039
1,23000.0,680363.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,26000.0,769106.0,28990,0,0,1,7.5,4,0,-0.24228032,0.59642714,-0.23936123,0.14529034
1,24000.0,709944.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,25000.0,739525.0,29300,0,0,1,6.5,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,20000.0,591620.0,29300,0,0,1,6.5,3,0,-0.069583565,0.84571373,1.1681741,0.7304368
1,9455.57,279705.21616999997,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,9000.0,266229.0,29300,0,0,1,6.5,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,7387.13,218518.69253,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,5105.34,151021.06254,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,40000.0,1183240.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,20000.0,591620.0,24230,0,0,1,5.9,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,443715.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,57000.0,1686117.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,23000.0,680363.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,75000.0,2240475.0,71110,0,0,1,7.0,2,0,-0.7509599,0.6434941,0.04101171,0.36117008
1,50000.0,1493650.0,51430,0,0,1,7.5,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,20000.0,597460.0,51430,0,0,2,7.5,4,0,0.8529021,1.0706525,-0.23936123,0.14529034
1,20000.0,597460.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,31000.0,926063.0,52310,0,0,1,5.8,3,0,1.3962417,-0.13528237,1.1681741,0.7304368
